updateDate,code,code_name
2023-03-20,sh.601898,中煤能源
2023-03-20,sh.601899,紫金矿业
2023-03-20,sh.601901,方正证券
2023-03-20,sh.601919,中远海控
2023-03-20,sh.601939,建设银行
2023-03-20,sh.601966,玲珑轮胎
2023-03-20,sh.601985,中国核电
2023-03-20,sh.601988,中国银行
2023-03-20,sh.601989,中国重工
2023-03-20,sh.601995,中金公司
2023-03-20,sh.601998,中信银行
2023-03-20,sh.603019,中科曙光
2023-03-20,sh.603185,上机数控
2023-03-20,sh.603195,公牛集团
2023-03-20,sh.603259,药明康德
2023-03-20,sh.603260,合盛硅业
2023-03-20,sh.603288,海天味业
2023-03-20,sh.603290,斯达半导
2023-03-20,sh.603369,今世缘
2023-03-20,sh.603392,万泰生物
2023-03-20,sh.603486,科沃斯
2023-03-20,sh.603501,韦尔股份
2023-03-20,sh.603659,璞泰来
2023-03-20,sh.603799,华友钴业
2023-03-20,sh.603806,福斯特
2023-03-20,sh.603833,欧派家居
2023-03-20,sh.603882,金域医学
2023-03-20,sh.603899,晨光股份
2023-03-20,sh.603986,兆易创新
2023-03-20,sh.603993,洛阳钼业
2023-03-20,sh.605117,德业股份
2023-03-20,sh.605499,东鹏饮料
2023-03-20,sh.688005,容百科技
2023-03-20,sh.688008,澜起科技
2023-03-20,sh.688012,中微公司
2023-03-20,sh.688036,传音控股
2023-03-20,sh.688065,凯赛生物
2023-03-20,sh.688111,金山办公
2023-03-20,sh.688126,沪硅产业
2023-03-20,sh.688169,石头科技
2023-03-20,sh.688187,时代电气
2023-03-20,sh.688303,大全能源
2023-03-20,sh.688363,华熙生物
2023-03-20,sh.688396,华润微
2023-03-20,sh.688561,奇安信
2023-03-20,sh.688599,天合光能
2023-03-20,sh.688981,中芯国际
2023-03-20,sz.000001,平安银行
2023-03-20,sz.000002,万科A
2023-03-20,sz.000063,中兴通讯
2023-03-20,sz.000069,华侨城A
2023-03-20,sz.000100,TCL科技
2023-03-20,sz.000157,中联重科
2023-03-20,sz.000166,申万宏源
2023-03-20,sz.000301,东方盛虹
2023-03-20,sz.000333,美的集团
2023-03-20,sz.000338,潍柴动力
2023-03-20,sz.000408,藏格矿业
2023-03-20,sz.000425,徐工机械
2023-03-20,sz.000538,云南白药
2023-03-20,sz.000568,泸州老窖
2023-03-20,sz.000596,古井贡酒
2023-03-20,sz.000625,长安汽车
2023-03-20,sz.000651,格力电器
2023-03-20,sz.000661,长春高新
2023-03-20,sz.000708,中信特钢
2023-03-20,sz.000723,美锦能源
2023-03-20,sz.000725,京东方A
2023-03-20,sz.000733,振华科技
2023-03-20,sz.000768,中航西飞
2023-03-20,sz.000776,广发证券
2023-03-20,sz.000786,北新建材
2023-03-20,sz.000792,盐湖股份
2023-03-20,sz.000800,一汽解放
2023-03-20,sz.000858,五粮液
2023-03-20,sz.000876,新希望
2023-03-20,sz.000877,天山股份
2023-03-20,sz.000895,双汇发展
2023-03-20,sz.000938,紫光股份
2023-03-20,sz.000963,华东医药
2023-03-20,sz.000977,浪潮信息
2023-03-20,sz.001289,龙源电力
2023-03-20,sz.001979,招商蛇口
2023-03-20,sz.002001,新和成
2023-03-20,sz.002007,华兰生物
2023-03-20,sz.002008,大族激光
2023-03-20,sz.002027,分众传媒
2023-03-20,sz.002032,苏泊尔
2023-03-20,sz.002049,紫光国微
2023-03-20,sz.002050,三花智控
2023-03-20,sz.002064,华峰化学
2023-03-20,sz.002074,国轩高科
2023-03-20,sz.002120,韵达股份
2023-03-20,sz.002129,TCL中环
2023-03-20,sz.002142,宁波银行
2023-03-20,sz.002179,中航光电
2023-03-20,sz.002180,纳思达
2023-03-20,sz.002202,金风科技
2023-03-20,sz.002230,科大讯飞
2023-03-20,sz.002236,大华股份
2023-03-20,sz.002241,歌尔股份
2023-03-20,sz.002252,上海莱士
2023-03-20,sz.002271,东方雨虹
2023-03-20,sz.002304,洋河股份
2023-03-20,sz.002311,海大集团
2023-03-20,sz.002352,顺丰控股
2023-03-20,sz.002371,北方华创
2023-03-20,sz.002410,广联达
2023-03-20,sz.002414,高德红外
2023-03-20,sz.002415,海康威视
2023-03-20,sz.002459,晶澳科技
2023-03-20,sz.002460,赣锋锂业
2023-03-20,sz.002466,天齐锂业
2023-03-20,sz.002475,立讯精密
2023-03-20,sz.002493,荣盛石化
2023-03-20,sz.002555,三七互娱
2023-03-20,sz.002594,比亚迪
2023-03-20,sz.002600,领益智造
2023-03-20,sz.002601,龙佰集团
2023-03-20,sz.002602,世纪华通
2023-03-20,sz.002648,卫星化学
2023-03-20,sz.002709,天赐材料
2023-03-20,sz.002714,牧原股份
2023-03-20,sz.002736,国信证券
2023-03-20,sz.002756,永兴材料
2023-03-20,sz.002812,恩捷股份
2023-03-20,sz.002821,凯莱英
2023-03-20,sz.002841,视源股份
2023-03-20,sz.002916,深南电路
2023-03-20,sz.002920,德赛西威
2023-03-20,sz.002938,鹏鼎控股
2023-03-20,sz.003816,中国广核
2023-03-20,sz.300014,亿纬锂能
2023-03-20,sz.300015,爱尔眼科
2023-03-20,sz.300033,同花顺
2023-03-20,sz.300059,东方财富
2023-03-20,sz.300122,智飞生物
2023-03-20,sz.300124,汇川技术
2023-03-20,sz.300142,沃森生物
2023-03-20,sz.300207,欣旺达
2023-03-20,sz.300223,北京君正
2023-03-20,sz.300274,阳光电源
2023-03-20,sz.300316,晶盛机电
2023-03-20,sz.300347,泰格医药
2023-03-20,sz.300408,三环集团
2023-03-20,sz.300413,芒果超媒
2023-03-20,sz.300433,蓝思科技
2023-03-20,sz.300450,先导智能
2023-03-20,sz.300454,深信服
2023-03-20,sz.300496,中科创达
2023-03-20,sz.300498,温氏股份
2023-03-20,sz.300529,健帆生物
2023-03-20,sz.300595,欧普康视
2023-03-20,sz.300601,康泰生物
2023-03-20,sz.300628,亿联网络
2023-03-20,sz.300661,圣邦股份
2023-03-20,sz.300750,宁德时代
2023-03-20,sz.300751,迈为股份
2023-03-20,sz.300759,康龙化成
2023-03-20,sz.300760,迈瑞医疗
2023-03-20,sz.300763,锦浪科技
2023-03-20,sz.300769,德方纳米
2023-03-20,sz.300782,卓胜微
2023-03-20,sz.300896,爱美客
2023-03-20,sz.300919,中伟股份
2023-03-20,sz.300957,贝泰妮
2023-03-20,sz.300979,华利集团
2023-03-20,sz.300999,金龙鱼
