date,code,open,high,low,close,volume,turn,pctChg
2014-08-29,sh.603099,5.4500,10.5300,5.4500,10.5300,5309933,7.964501,131.938326
2014-09-30,sh.603099,11.5800,18.8000,11.5800,16.1100,284297777,426.425344,52.991453
2014-10-31,sh.603099,16.0100,17.0000,14.5000,15.1300,104235025,156.344720,-6.083178
2014-11-28,sh.603099,15.1600,20.5900,14.9700,17.2200,282803257,424.183676,13.813615
2014-12-31,sh.603099,17.0200,17.9600,13.8800,14.2400,99840181,149.752784,-17.305459
2015-01-30,sh.603099,14.2500,15.6800,13.8000,14.7500,66884806,100.322193,3.581461
2015-02-27,sh.603099,14.7500,15.6900,14.0700,15.2600,37351432,56.024347,3.457627
2015-03-31,sh.603099,15.2600,20.7500,15.0500,19.3900,160753723,241.118529,27.064220
2015-04-30,sh.603099,19.3800,21.0000,18.0000,19.3700,128849268,193.264239,-0.103146
2015-05-29,sh.603099,19.6000,35.7900,19.4500,30.8200,224196242,336.277549,59.112029
2015-06-30,sh.603099,30.7800,33.1000,17.3700,20.1700,131046035,196.559225,-34.359607
2015-07-31,sh.603099,20.1800,24.4500,10.5000,24.4400,239466079,359.181159,21.170055
2015-08-31,sh.603099,24.4200,27.8500,14.1000,18.5800,343680713,479.310077,-23.977087
2015-09-30,sh.603099,17.8000,22.1500,16.3800,18.7900,210183556,204.717596,1.130248
2015-10-30,sh.603099,19.6900,23.6000,18.8000,21.6500,168182772,163.809070,15.220862
2015-11-30,sh.603099,21.7000,26.1800,19.7800,21.3200,191994222,187.001288,-1.524249
2015-12-31,sh.603099,21.0200,24.4500,19.9500,23.5000,98374434,95.816143,10.225141
2016-01-29,sh.603099,23.0000,23.0000,15.3900,16.7200,59102554,57.565554,-28.851064
2016-02-29,sh.603099,16.4700,21.4400,16.1100,21.4400,70292388,68.464389,28.229665
2016-03-31,sh.603099,20.4400,23.9900,18.1600,21.2700,324184318,315.753694,-0.792910
2016-04-29,sh.603099,21.1000,21.8600,19.1500,19.2700,113079546,110.138839,-9.402915
2016-05-31,sh.603099,19.2700,20.1300,16.5000,17.6700,50173170,48.868384,-8.303062
2016-06-30,sh.603099,17.8000,18.6900,17.0100,17.9100,52129150,50.773498,1.974564
2016-07-29,sh.603099,17.8400,19.2000,17.3000,17.5900,62402130,60.779322,-1.786711
2016-08-31,sh.603099,17.6200,19.3600,17.2000,18.8900,47465386,46.231018,7.390563
2016-09-30,sh.603099,18.7400,20.3000,18.0300,18.4500,56416925,54.949766,-2.329275
2016-10-31,sh.603099,18.5500,19.9900,18.2500,18.7400,50319108,49.010527,1.571816
2016-11-30,sh.603099,18.6900,22.6500,18.6800,20.7000,114099029,111.131810,10.458911
2016-12-30,sh.603099,20.7500,22.1500,18.7100,19.6400,102176001,99.518848,-5.120773
2017-01-26,sh.603099,19.7000,20.2400,17.0800,18.8500,37862377,36.877741,-4.022403
2017-02-28,sh.603099,18.9500,19.9500,18.5000,19.6800,32503469,31.658195,4.403183
2017-03-31,sh.603099,19.8000,20.9600,17.8300,18.0000,73575387,71.662011,-8.536585
2017-04-28,sh.603099,18.1000,18.4000,15.6000,16.3300,23515739,22.904197,-9.277778
2017-05-31,sh.603099,16.3300,16.5000,13.8800,14.5700,20997514,20.451460,-10.777710
2017-06-30,sh.603099,14.5100,15.9200,13.9300,15.3300,43224981,42.100887,5.216198
2017-07-31,sh.603099,15.4500,15.6300,13.6000,14.0500,23478750,22.868170,-8.349641
2017-08-31,sh.603099,14.0800,14.9800,13.9100,14.4800,26020131,22.330148,3.631866
2017-09-29,sh.603099,14.5000,15.7000,14.4400,14.9000,36004785,13.501626,2.900552
2017-10-31,sh.603099,14.8700,14.9900,13.8800,14.0700,12600315,4.725059,-5.570470
2017-11-30,sh.603099,14.0900,15.1300,12.7600,12.8800,16854461,6.320344,-8.457711
2017-12-29,sh.603099,12.8600,13.0600,11.4300,11.9900,14216304,5.331047,-6.909938
