date,code,open,high,low,close,volume,turn,pctChg
2012-07-31,sh.601360,10.9500,11.1700,8.8000,8.8500,16294068,29.096550,-17.674419
2012-08-31,sh.601360,8.8500,11.7700,8.7700,10.5600,72007292,128.584450,19.322034
2012-09-28,sh.601360,10.7000,10.9800,9.1800,9.8400,30415068,54.312621,-6.818182
2012-10-31,sh.601360,9.7600,9.9900,9.2800,9.5800,8177351,14.602412,-2.642276
2012-11-30,sh.601360,9.6500,9.8500,8.4900,8.6000,6893402,12.309646,-10.229645
2012-12-31,sh.601360,8.5900,10.3400,8.3600,10.2000,18895232,33.741486,18.604651
2013-01-31,sh.601360,10.2800,12.3000,9.8000,11.8200,75588175,68.157581,15.882353
2013-02-28,sh.601360,11.8100,13.6500,11.3600,12.3600,70085021,44.749907,4.568528
2013-03-29,sh.601360,12.3700,13.6300,11.6800,12.9700,62988051,40.218429,4.935275
2013-04-26,sh.601360,13.0000,13.4200,6.6100,7.5500,176404594,65.559528,7.240130
2013-05-31,sh.601360,7.5200,8.9800,7.1400,8.4400,269501210,95.599396,11.788079
2013-06-28,sh.601360,8.3800,8.9700,5.9800,6.7800,115683176,41.035963,-19.668246
2013-07-31,sh.601360,6.8600,8.2500,6.7100,7.6400,93764906,33.260958,12.684366
2013-08-30,sh.601360,7.7000,8.2800,7.4000,7.7300,107480144,38.126125,1.178010
2013-09-30,sh.601360,7.7900,8.5900,7.6800,8.5100,134124024,47.577433,10.090556
2013-10-31,sh.601360,8.4700,9.9800,8.3300,8.7300,141899383,50.335564,2.585194
2013-11-29,sh.601360,8.9800,9.0400,8.2500,8.5600,64674169,22.941684,-1.947308
2013-12-31,sh.601360,8.4000,9.0700,8.0000,8.1600,88263770,31.309555,-4.672897
2014-01-30,sh.601360,8.1600,8.7300,7.7000,8.4100,54984894,19.504635,3.063725
2014-02-28,sh.601360,8.3500,9.3100,8.1600,8.3900,60328067,22.761991,-0.237812
2014-03-31,sh.601360,8.4700,8.8700,7.6200,7.8900,69225922,26.031402,-5.959476
2014-04-30,sh.601360,7.8300,8.7400,7.5100,7.7500,198747459,74.014403,1.191351
2014-05-30,sh.601360,7.7400,7.8300,6.9100,7.3300,41390306,15.413927,-5.419355
2014-06-30,sh.601360,7.3300,7.9200,7.0800,7.3700,89265226,33.242751,0.545703
2014-07-31,sh.601360,7.3900,9.0900,7.2400,8.4300,257283746,95.813566,14.382632
2014-08-29,sh.601360,8.4300,8.6400,8.0800,8.2200,115293308,42.935720,-2.491103
2014-09-30,sh.601360,8.2200,10.2600,8.2100,10.0700,168998429,62.935737,22.506083
2014-10-31,sh.601360,10.1100,10.9600,9.5500,10.3900,131754428,49.065912,3.177756
2014-11-28,sh.601360,10.3300,12.1700,10.3300,11.5300,107671126,40.097187,10.972089
2014-12-31,sh.601360,11.5400,11.6700,9.2100,9.4500,121439684,45.224657,-18.039896
2015-01-30,sh.601360,9.4500,10.4500,9.1000,9.8900,83066997,28.761722,4.656085
2015-02-27,sh.601360,9.8200,10.6400,9.6700,10.5500,54548135,18.023723,6.673407
2015-03-31,sh.601360,10.6500,15.5000,10.4900,14.8100,225479751,70.248843,40.379147
2015-04-30,sh.601360,14.7400,17.5000,14.6800,15.3700,175979829,44.610519,5.663597
2015-05-29,sh.601360,15.3000,23.9500,14.8000,21.4000,215207285,54.554597,39.232271
2015-06-30,sh.601360,22.0800,27.1300,16.0200,18.7100,170728390,43.279290,-12.570093
2015-07-31,sh.601360,18.6000,19.3200,11.0600,14.6500,185867811,47.117101,-21.699626
2015-08-31,sh.601360,14.5600,16.9900,11.3600,12.7600,144175472,36.548181,-12.901024
2015-09-30,sh.601360,12.6000,13.1300,10.7000,11.4400,78107986,19.800211,-10.344828
2015-10-30,sh.601360,11.9400,15.5900,11.8500,14.2500,197518169,50.070443,24.562937
2015-11-30,sh.601360,14.0100,17.2000,13.9100,16.5900,294271774,74.597279,16.421053
2015-12-31,sh.601360,16.4500,18.2800,15.5800,15.6800,245829083,62.317159,-5.485232
2016-01-29,sh.601360,15.6400,15.6700,10.0200,10.7300,128932854,32.924444,-31.568878
2016-02-29,sh.601360,10.7000,12.3600,9.9900,10.3000,59432214,15.189898,-4.007456
2016-03-31,sh.601360,10.4400,12.8300,10.2600,12.6300,90038801,23.012439,22.621359
2016-04-29,sh.601360,12.5200,13.2600,11.7200,12.2900,80761491,20.549242,-2.692003
2016-05-31,sh.601360,12.2800,12.7000,10.3100,10.9700,67138707,16.911792,-9.298443
2016-06-30,sh.601360,10.9700,16.4500,10.9000,14.4800,432945766,109.052439,31.996354
2016-07-29,sh.601360,14.2800,14.3400,12.4600,12.5500,264349072,66.556082,-13.328729
2016-08-31,sh.601360,12.4200,13.3300,12.1900,12.8100,128561996,32.368499,2.071713
2016-09-30,sh.601360,12.7700,13.3000,12.0800,12.3600,98894550,24.899024,-3.512881
2016-10-31,sh.601360,12.3800,13.2600,12.3800,12.7900,66889574,16.841020,3.478964
2016-11-30,sh.601360,12.7600,13.6200,12.7100,12.8300,105599612,26.587180,0.312744
2016-12-30,sh.601360,12.8500,13.0200,11.1500,11.8200,59299620,14.930071,-7.872175
2017-01-26,sh.601360,11.9300,12.2900,10.7200,11.4900,41263326,10.389011,-2.791878
2017-02-28,sh.601360,11.4800,12.2700,11.2900,11.7800,40828981,10.279654,2.523934
2017-03-31,sh.601360,11.8000,12.5900,11.0000,11.1300,75260551,18.948610,-5.517827
2017-04-28,sh.601360,11.1400,11.5500,9.4400,9.9400,51413020,12.944434,-10.691824
2017-05-31,sh.601360,9.9000,10.1100,8.1900,8.5100,34926807,8.793643,-13.223332
