date,code,open,high,low,close,volume,turn,pctChg
2022-01-28,sh.600941,63.0000,63.5800,57.5800,57.5800,876930395,186.428400,0.000000
2022-02-28,sh.600941,57.7000,68.4000,57.7000,60.5400,334223697,79.159500,5.140700
2022-03-31,sh.600941,60.5400,69.6200,58.5500,66.8600,199761017,49.865900,10.439400
2022-04-29,sh.600941,66.6800,71.2800,62.2000,64.9600,146825210,36.651600,-2.841800
2022-05-31,sh.600941,64.9600,67.8100,62.0000,66.2600,79705966,19.896800,2.001200
2022-06-30,sh.600941,64.6400,66.6600,59.8000,60.5000,144406111,36.047800,-5.719200
2022-07-29,sh.600941,60.4300,61.6000,57.5900,58.2000,178705395,37.670600,-3.801700
2022-08-31,sh.600941,58.2300,65.9000,57.6200,64.0200,157746305,32.812200,10.000000
2022-09-30,sh.600941,64.1200,69.2700,62.2900,68.3300,133912521,27.854700,9.923600
2022-10-31,sh.600941,68.2300,72.5000,65.3300,67.2000,127618255,26.545400,-1.653700
2022-11-30,sh.600941,66.7700,76.0000,64.5100,73.8100,198508012,41.290900,9.836300
2022-12-30,sh.600941,73.5300,79.2400,67.4800,67.6700,178588117,37.147700,-8.318700
2023-01-31,sh.600941,67.6700,79.2000,67.5000,76.1600,131339782,18.982600,12.546200
2023-02-28,sh.600941,75.9900,82.0000,74.0000,80.6000,183838090,24.233200,5.829800
2023-03-31,sh.600941,80.5200,102.7200,80.0800,89.9700,650775949,85.783800,11.625300
2023-04-28,sh.600941,89.3000,106.0000,88.1800,101.1200,378172371,49.849800,12.393000
2023-05-31,sh.600941,100.9700,109.5900,88.9400,96.4000,316045254,41.660200,-4.667700
2023-06-30,sh.600941,96.3000,102.6600,91.1400,93.3000,231397029,30.502200,-1.226800
