date,code,open,high,low,close,volume,turn,pctChg
2016-10-31,sh.600926,17.2700,25.0700,17.2700,25.0700,8601419,3.286120,74.218207
2016-11-30,sh.600926,26.5000,30.2900,23.2300,23.2900,909303540,347.393903,-7.100120
2016-12-30,sh.600926,23.3000,24.2900,20.8200,20.9500,234284799,89.507087,-10.047231
2017-01-26,sh.600926,20.9500,21.3300,19.0400,20.1500,135438729,51.743545,-3.818616
2017-02-28,sh.600926,20.1700,23.2800,19.6700,22.9500,409019930,156.263584,13.895782
2017-03-31,sh.600926,22.7200,23.3000,20.6100,22.7000,380697788,145.443281,-1.089325
2017-04-28,sh.600926,22.8000,23.1800,20.5000,21.3800,291590395,111.400342,-5.814978
2017-05-31,sh.600926,21.2500,24.4400,20.0000,21.3500,481256440,183.861104,-0.140318
2017-06-30,sh.600926,21.2400,22.3700,14.7100,14.8500,329113508,96.254629,-1.281053
2017-07-31,sh.600926,14.8600,15.6900,14.5700,14.8500,330323535,90.141502,0.000000
2017-08-31,sh.600926,14.8100,15.3500,14.3400,14.9500,242185806,66.089727,0.673401
2017-09-29,sh.600926,14.9000,14.9700,13.8800,13.9300,150958873,41.194944,-6.822742
2017-10-31,sh.600926,14.2200,14.2900,12.7100,12.8600,147166175,30.456792,-7.681263
2017-11-30,sh.600926,12.8700,13.4000,11.5600,12.0400,284821844,19.433044,-6.376361
2017-12-29,sh.600926,12.0100,12.0700,11.0300,11.5300,278067645,18.972213,-4.235880
2018-01-31,sh.600926,11.6200,13.3600,11.5400,12.5200,724940258,49.461782,8.586297
2018-02-28,sh.600926,12.5000,13.2000,11.2300,11.7500,398793559,27.209000,-6.150160
2018-03-30,sh.600926,11.6700,12.0300,10.8200,11.2900,266474372,18.180535,-3.914894
2018-04-27,sh.600926,11.3000,11.5400,10.9900,11.4000,175025461,11.920963,0.974314
2018-05-31,sh.600926,11.5500,11.9500,11.3000,11.7200,215693237,15.455642,2.807018
2018-06-29,sh.600926,11.6500,11.9200,10.7500,11.0900,235573030,15.867367,-5.375427
2018-07-31,sh.600926,11.1000,11.2100,7.2800,8.1300,333477771,16.423204,5.477556
2018-08-31,sh.600926,8.1200,8.1600,7.6500,8.0200,232507053,11.170173,-1.353014
2018-09-28,sh.600926,7.9800,7.9800,7.3700,7.8200,263388569,12.653068,-2.493766
2018-10-31,sh.600926,7.6900,8.3000,7.3600,7.9800,347063753,16.672545,2.046036
2018-11-30,sh.600926,7.9600,8.1300,7.6800,7.7200,388253415,18.651249,-3.258145
2018-12-28,sh.600926,7.8500,7.8800,7.3200,7.4000,164842920,7.918865,-4.145078
2019-01-31,sh.600926,7.4100,7.7900,7.3000,7.7800,235797011,11.327323,5.135135
2019-02-28,sh.600926,7.7800,9.3300,7.7300,8.8100,646014732,31.033177,13.239075
2019-03-29,sh.600926,8.8900,9.4400,8.2800,8.6100,947442126,45.513109,-2.270148
2019-04-30,sh.600926,8.6900,9.1800,8.5200,8.8800,852516965,40.953106,3.135889
2019-05-31,sh.600926,8.7000,8.9500,8.1300,8.2100,363868905,17.479490,-7.545045
2019-06-28,sh.600926,8.2400,8.5400,8.1000,8.3300,234407074,11.260418,1.461632
2019-07-31,sh.600926,8.4000,8.6300,7.9400,8.4700,428229828,20.571100,4.758174
2019-08-30,sh.600926,8.4400,8.5200,7.9200,7.9800,308348891,14.812500,-5.785124
2019-09-30,sh.600926,7.9700,8.5800,7.9700,8.4500,336261557,16.153100,5.889724
2019-10-31,sh.600926,8.4200,9.1800,8.3300,9.0000,506771685,20.754400,6.508876
2019-11-29,sh.600926,8.9700,9.5400,8.6400,8.7100,480715437,11.334100,-3.222222
2019-12-31,sh.600926,8.7200,9.3900,8.6100,9.1600,332373821,7.554300,5.166475
2020-01-23,sh.600926,9.2700,9.7800,9.1000,9.1700,350639603,7.482300,0.109170
2020-02-28,sh.600926,8.3100,9.0700,8.2500,8.5900,483603182,10.319900,-6.324973
2020-03-31,sh.600926,8.5800,9.1300,7.5000,7.7000,491367040,10.485500,-10.360885
2020-04-30,sh.600926,7.6700,8.4100,7.4500,8.2800,309490673,6.604300,7.532468
2020-05-29,sh.600926,8.2100,9.1700,8.1800,9.1000,415015701,8.752800,9.903382
2020-06-30,sh.600926,9.0900,9.3000,8.6800,8.9200,411575639,8.350000,-1.978022
2020-07-31,sh.600926,8.9600,11.1500,8.8500,9.4400,1029600426,20.500800,9.347200
2020-08-31,sh.600926,9.4800,13.5600,9.4800,12.9500,1198219717,23.857800,37.182203
2020-09-30,sh.600926,13.0800,13.2700,11.6800,11.7800,812391308,16.175600,-9.034749
2020-10-30,sh.600926,11.8200,14.1700,11.6100,12.9700,620114983,12.337900,10.101868
