date,code,open,high,low,close,volume,turn,pctChg
2012-07-31,sz.002601,78.5300,79.9700,27.8000,27.8000,28843780,59.521529,-28.125631
2012-08-31,sz.002601,27.5000,31.5000,24.3000,24.9200,71030382,63.654235,-10.359712
2012-09-28,sz.002601,24.8200,27.4900,22.9600,24.1200,51865599,46.479618,-3.210273
2012-10-31,sz.002601,24.2600,27.1100,23.0100,24.3100,46377395,41.561336,0.787728
2012-11-30,sz.002601,24.2500,25.2000,17.5200,17.8800,30995687,27.776941,-26.450021
2012-12-31,sz.002601,17.7900,23.7300,16.9500,23.0200,117108781,104.947624,28.747204
2013-01-31,sz.002601,23.3200,24.7700,22.0000,23.4300,117211770,105.039919,1.781060
2013-02-28,sz.002601,23.4000,27.3100,22.4600,26.2800,97939380,87.768869,12.163892
2013-03-29,sz.002601,26.2000,26.2700,20.4000,21.7000,80526168,72.163931,-17.427702
2013-04-26,sz.002601,22.0000,23.1900,17.7200,17.7800,39835835,35.699084,-18.064516
2013-05-31,sz.002601,17.8200,21.1200,17.4700,20.8000,67529165,60.516602,18.113490
2013-06-28,sz.002601,20.8000,22.2400,14.9100,15.2200,47028550,42.144872,-26.826923
2013-07-31,sz.002601,15.2900,17.3600,15.0600,16.8600,64121718,57.465214,10.775296
2013-08-30,sz.002601,16.8700,22.1000,16.6100,20.5400,100462841,90.034961,21.826809
2013-09-30,sz.002601,20.4500,22.5000,18.7000,19.0500,64834698,58.104962,-7.254138
2013-10-31,sz.002601,18.9000,22.7000,18.8000,21.3900,47262196,42.356457,12.283465
2013-11-29,sz.002601,21.3900,22.1700,19.5600,20.3200,49706848,44.547358,-5.002338
2013-12-31,sz.002601,19.8000,19.9600,17.0500,17.4300,37075906,33.227487,-14.222441
2014-01-30,sz.002601,17.4600,17.8100,15.7400,17.7400,31275799,28.029422,1.778543
2014-02-28,sz.002601,17.6900,18.9700,16.7500,17.2200,32601916,29.217890,-2.931229
2014-03-31,sz.002601,17.2200,17.7300,15.7500,16.3600,30288391,27.144505,-4.994193
2014-04-30,sz.002601,16.2100,17.3500,15.8500,16.3800,25131123,22.522553,0.122249
2014-05-30,sz.002601,16.0000,17.5900,16.0000,16.3800,37490898,33.558466,0.290529
2014-06-30,sz.002601,16.4000,18.6500,16.2200,18.5000,66058439,59.054615,12.942613
2014-07-31,sz.002601,18.4500,23.1000,17.9000,21.5000,111526850,82.520879,16.216216
2014-08-29,sz.002601,21.3300,24.2000,20.4000,20.8400,84438924,51.672961,-3.069767
2014-09-30,sz.002601,20.8800,23.6000,20.8800,23.4000,96074003,58.793125,12.284069
2014-10-31,sz.002601,23.4100,25.2000,22.6700,24.6900,106101891,64.929758,5.512821
2014-11-28,sz.002601,24.7100,25.9000,22.1000,22.6000,105300920,64.439598,-8.464966
2014-12-31,sz.002601,22.5800,23.2000,19.7800,21.0500,95122511,58.210853,-6.858407
2015-01-30,sz.002601,21.0500,24.1900,21.0100,24.1000,61737923,37.780932,14.489311
2015-02-27,sz.002601,23.9000,28.5100,23.6100,28.4100,77246707,47.271636,17.883817
2015-03-31,sz.002601,28.6000,30.9600,26.6100,29.3300,114368790,69.988741,3.238296
2015-04-30,sz.002601,29.2800,33.5500,29.1000,33.4300,26170476,16.015197,14.319809
2015-05-29,sz.002601,33.4300,33.4300,33.4300,33.4300,0,0.000000,0.000000
2015-06-30,sz.002601,33.4300,64.0000,33.4300,45.5000,75611565,46.030988,36.105295
2015-07-31,sz.002601,45.3000,48.9800,26.2400,34.8200,164370672,100.065968,-23.472527
2015-08-31,sz.002601,34.7900,41.8800,25.2000,27.3100,90028062,54.807497,-21.568064
2015-09-30,sz.002601,27.0900,27.0900,20.7500,23.4400,59648279,36.312821,-14.170633
2015-10-30,sz.002601,24.3000,28.8800,24.0100,27.6900,99640550,60.659410,18.131399
2015-11-30,sz.002601,27.0000,39.5700,26.6800,39.4400,175740906,106.987966,42.434092
2015-12-31,sz.002601,39.4500,44.5200,33.3300,38.9600,190194679,115.780018,-1.217039
2016-01-29,sz.002601,38.7000,39.9800,30.0100,38.8200,170553457,103.671366,-0.359343
2016-02-29,sz.002601,39.8000,50.1600,37.2100,37.2200,169861427,103.250714,-4.121587
2016-03-31,sz.002601,36.5000,60.9000,36.0000,58.0200,391608344,238.040159,55.883933
2016-04-29,sz.002601,57.0000,65.6000,13.3100,13.9400,481234916,215.489516,-15.310145
2016-05-31,sz.002601,13.8500,15.2700,11.5900,12.6600,867653491,149.870106,-9.182209
2016-06-30,sz.002601,12.6700,14.8600,12.5500,13.9500,913741876,153.417029,10.189573
2016-07-29,sz.002601,14.0000,16.2500,13.6700,14.1800,788838981,132.370792,1.648746
2016-08-31,sz.002601,14.1500,15.8000,13.7800,14.8000,413111344,69.321974,4.372355
2016-09-30,sz.002601,14.7500,15.8400,14.0800,14.2600,332626868,55.816311,-3.648649
2016-10-31,sz.002601,14.3400,14.9800,14.0100,14.3500,219674910,36.862455,0.631136
2016-11-30,sz.002601,14.3600,14.9000,13.3100,13.4400,264378381,44.363902,-6.341463
2016-12-30,sz.002601,13.4300,14.2500,12.3800,12.6600,208697182,35.020342,-3.760265
2017-01-26,sz.002601,12.7000,13.9100,11.5700,13.6500,196930373,33.086976,7.819905
2017-02-28,sz.002601,13.6800,15.1700,13.5100,14.8000,265309387,44.575578,8.424908
2017-03-31,sz.002601,14.9600,17.9500,14.9600,16.8800,557796656,91.334455,14.054054
2017-04-28,sz.002601,16.8100,18.0700,16.0100,17.3600,323906388,49.479798,2.843602
2017-05-31,sz.002601,17.2000,17.6700,13.7700,14.7100,258340727,39.395217,-14.194414
2017-06-30,sz.002601,14.6700,16.4700,14.3000,16.3800,304231178,45.449797,11.352821
2017-07-31,sz.002601,16.6000,20.3900,15.9400,20.1300,1097478276,163.365957,22.893773
2017-08-31,sz.002601,19.4400,19.6700,16.8000,18.6000,652020628,97.057023,-7.600596
2017-09-29,sz.002601,18.5600,19.6500,17.8100,18.5900,495166832,73.708433,-0.053763
2017-10-31,sz.002601,18.8000,19.1900,17.3000,17.7000,241959195,36.017019,-4.787520
2017-11-30,sz.002601,17.5600,17.8000,15.0100,16.1400,254367008,37.863993,-8.813559
2017-12-29,sz.002601,16.3300,17.5100,15.0000,16.0200,277642906,41.328744,2.321870
2018-01-31,sz.002601,16.1200,18.1800,15.9200,17.9400,472376269,70.315926,11.985019
2018-02-28,sz.002601,17.8800,19.4800,16.1400,18.2000,479046813,71.310400,1.449275
2018-03-30,sz.002601,18.0000,19.1700,17.7100,18.4200,301251081,44.842957,1.208791
2018-04-27,sz.002601,18.4200,18.4200,18.4200,18.4200,0,0.000000,0.000000
2018-05-31,sz.002601,18.4200,18.4200,14.0200,14.1500,196307388,29.077402,-20.817012
2018-06-29,sz.002601,14.1700,14.8000,11.7800,12.9300,199168067,28.721203,-8.621908
2018-07-31,sz.002601,12.8800,14.1400,11.5200,13.8000,241763415,34.309892,6.728538
2018-08-31,sz.002601,13.8100,14.2300,12.7700,13.4300,195092359,27.651866,-2.681159
2018-09-28,sz.002601,13.5000,13.8600,12.7000,13.7500,107497935,15.236468,2.382725
2018-10-31,sz.002601,13.5600,14.2100,12.0800,12.8700,151001790,21.402587,-1.609449
2018-11-30,sz.002601,12.9700,13.8800,12.5500,12.6600,139827396,19.818759,-1.631702
2018-12-28,sz.002601,13.0000,13.4600,12.1000,12.3000,65394336,9.268817,-2.843602
2019-01-31,sz.002601,12.3100,13.1000,12.0100,12.1100,68288880,9.679082,-1.544715
2019-02-28,sz.002601,12.1100,14.6800,12.1100,14.1700,190135415,26.949282,17.010735
2019-03-29,sz.002601,14.2300,16.5100,14.0000,16.1200,357682873,50.697007,13.761468
2019-04-30,sz.002601,16.3000,19.7800,15.3100,15.6700,367758640,52.125119,-2.791563
2019-05-31,sz.002601,15.0400,16.4200,14.2100,15.4500,204559981,28.993781,-1.403957
2019-06-28,sz.002601,15.4500,16.9200,14.8000,14.8300,191940624,27.205147,0.252656
