date,code,open,high,low,close,volume,turn,pctChg
2012-07-31,sh.601111,6.1200,6.6100,5.9000,6.0500,319361444,3.894776,0.250753
2012-08-31,sh.601111,6.0600,6.1400,4.7700,4.8400,279050976,3.403170,-20.000000
2012-09-28,sh.601111,4.8200,5.1300,4.5200,4.9800,289773290,3.533934,2.892562
2012-10-31,sh.601111,5.0100,5.4000,4.8800,5.0600,137554462,1.677547,1.606426
2012-11-30,sh.601111,5.0900,5.1700,4.5000,4.6600,202112330,2.464863,-7.905138
2012-12-31,sh.601111,4.6600,6.0100,4.5400,6.0000,348008638,4.244144,28.755365
2013-01-31,sh.601111,6.0400,6.1900,5.5800,5.9600,551080422,6.720708,-0.666667
2013-02-28,sh.601111,5.9200,6.1500,5.2800,5.5500,321666004,3.922882,-6.879195
2013-03-29,sh.601111,5.5500,5.8700,5.2600,5.5600,316958341,3.865469,0.180180
2013-04-26,sh.601111,5.5000,5.5700,4.8800,5.2300,222637458,2.715178,-5.935252
2013-05-31,sh.601111,5.2000,5.5800,5.1700,5.3100,183164618,2.233786,1.529637
2013-06-28,sh.601111,5.3300,5.3700,4.0000,4.2400,201700758,2.459844,-20.150659
2013-07-31,sh.601111,4.2500,4.2700,3.7400,3.8400,352511452,4.299058,-8.033457
2013-08-30,sh.601111,3.8600,4.5500,3.8300,4.1500,418522617,5.104098,8.072917
2013-09-30,sh.601111,4.1600,4.6500,3.9800,4.0400,646722748,7.887115,-2.650602
2013-10-31,sh.601111,4.0200,4.1400,3.8400,3.9400,340691042,4.154902,-2.475248
2013-11-29,sh.601111,3.9300,4.2800,3.8400,4.1900,396911912,4.777058,6.345178
2013-12-31,sh.601111,4.1600,4.3100,3.8300,3.9500,309185082,3.712030,-5.727924
2014-01-30,sh.601111,3.9400,3.9500,3.7000,3.7300,170583645,2.048002,-5.569620
2014-02-28,sh.601111,3.7100,3.9400,3.6300,3.6900,218194940,2.619616,-1.072386
2014-03-31,sh.601111,3.6800,3.7500,3.4100,3.4400,274648374,3.297388,-6.775068
