date,code,open,high,low,close,volume,turn,pctChg
2012-07-31,sh.600015,9.4900,9.5800,8.3300,8.8000,510633512,10.232053,-7.074974
2012-08-31,sh.600015,8.8000,9.2000,8.5200,8.7400,391953264,7.853943,-0.681818
2012-09-28,sh.600015,8.7400,8.7700,7.7800,8.0400,473804064,9.494066,-8.009153
2012-10-31,sh.600015,8.0200,8.5500,7.9700,8.3600,321950503,6.451231,3.980100
2012-11-30,sh.600015,8.3700,8.8600,8.2800,8.4300,434441882,8.705328,0.837321
2012-12-31,sh.600015,8.4000,10.3800,7.9500,10.3500,1076452082,21.569902,22.775801
2013-01-31,sh.600015,10.5900,11.8200,9.9000,11.6500,1019195591,20.422599,12.560386
2013-02-28,sh.600015,11.5500,12.4300,10.5500,11.2400,835862390,16.748976,-3.519313
2013-03-29,sh.600015,11.2400,11.3500,9.7400,10.4600,906909071,18.172606,-6.939502
2013-04-26,sh.600015,10.3700,10.7500,9.8000,10.4700,462558968,9.268737,0.095602
2013-05-31,sh.600015,10.4000,11.1300,10.3700,10.6900,662410696,13.273358,2.101242
2013-06-28,sh.600015,10.7400,10.8300,7.9800,9.0200,450168458,9.020457,-15.622077
2013-07-31,sh.600015,8.9100,9.6900,6.1300,6.3500,633064838,11.789561,-3.642512
2013-08-30,sh.600015,6.3500,7.4800,6.3300,6.9800,843563800,13.002536,9.921260
2013-09-30,sh.600015,7.0000,8.3800,6.9300,7.4700,1025287981,15.803599,7.020057
2013-10-31,sh.600015,7.4400,8.0300,7.3500,7.8300,619129167,9.543142,4.819277
2013-11-29,sh.600015,7.8300,8.3700,7.5300,8.2200,761171485,11.732556,4.980843
2013-12-31,sh.600015,8.2100,8.8300,7.5100,8.5700,1071972119,16.523179,4.257908
2014-01-30,sh.600015,8.5100,8.5100,7.7400,8.1700,514236169,7.926341,-4.667445
2014-02-28,sh.600015,8.1000,8.6200,7.7500,8.1700,605556290,9.333932,0.000000
2014-03-31,sh.600015,8.0900,8.4900,7.7600,8.4400,614959303,9.478869,3.304774
2014-04-30,sh.600015,8.3900,9.1200,8.2700,8.4900,772424659,11.906010,0.592417
