date,code,open,high,low,close,volume,turn,pctChg
2015-05-29,sz.300450,28.0000,72.0200,28.0000,72.0200,40600,0.238824,239.556813
2015-06-30,sz.300450,79.2200,186.7900,79.2200,145.2000,54087811,318.163594,101.610664
2015-07-31,sz.300450,140.3000,183.8200,84.4500,148.9900,53916580,317.156353,2.610193
2015-08-31,sz.300450,142.0000,195.4300,116.6400,131.0000,44616425,262.449559,-12.074636
2015-09-30,sz.300450,127.0000,139.8100,55.5800,77.7000,63118568,215.178853,18.787385
2015-10-30,sz.300450,82.2000,100.9900,78.1900,88.9500,71565288,210.486141,14.478764
2015-11-30,sz.300450,86.1000,118.8000,86.1000,93.3900,75853479,223.098468,4.991568
2015-12-31,sz.300450,93.0000,113.8000,82.6600,99.3900,66542738,195.713935,6.424671
2016-01-29,sz.300450,102.0000,103.3000,68.3800,81.7500,52561283,154.592009,-17.748264
2016-02-29,sz.300450,81.0000,126.6900,76.6300,101.7000,90491671,266.151974,24.403670
2016-03-31,sz.300450,101.8000,122.2100,37.8100,37.8100,59189085,174.085544,12.074730
2016-04-29,sz.300450,37.8100,37.8100,37.8100,37.8100,0,0.000000,0.000000
2016-05-31,sz.300450,37.8100,37.8100,37.8100,37.8100,0,0.000000,0.000000
2016-06-30,sz.300450,37.8100,37.8100,37.8100,37.8100,0,0.000000,0.000000
2016-07-29,sz.300450,37.8100,47.5600,35.9100,36.0000,169358565,166.037809,-4.787093
2016-08-31,sz.300450,35.3300,37.6700,31.8300,32.1100,227325430,177.929800,-10.805556
2016-09-30,sz.300450,31.9200,33.4100,29.3600,30.6100,111120922,65.758484,-4.671442
2016-10-31,sz.300450,30.6600,36.1500,30.6000,35.0900,146539278,86.718150,14.635740
2016-11-30,sz.300450,35.2800,35.3800,32.8500,33.9900,76361859,45.188971,-3.134796
2016-12-30,sz.300450,33.9900,33.9900,33.9900,33.9900,0,0.000000,0.000000
2017-01-26,sz.300450,33.9900,33.9900,33.9900,33.9900,0,0.000000,0.000000
2017-02-28,sz.300450,33.9900,37.3800,31.1400,34.0000,112867950,66.792330,0.029420
2017-03-31,sz.300450,32.9000,45.3500,32.7100,42.7500,254153471,150.401442,25.735294
2017-04-28,sz.300450,42.5000,47.5100,42.3000,45.5800,131354279,77.732061,6.928720
2017-05-31,sz.300450,45.9800,46.4800,38.9300,40.2500,78701794,46.573684,-11.693725
2017-06-30,sz.300450,39.9700,53.4400,37.1500,51.7700,113369172,67.088940,28.621118
2017-07-31,sz.300450,51.6900,68.9100,50.1000,66.8500,177133143,104.822807,29.128839
2017-08-31,sz.300450,66.0000,68.6500,59.2000,66.3700,84004943,49.711950,-0.718025
2017-09-29,sz.300450,66.6900,85.6000,66.6900,74.6000,100827962,59.667377,12.400181
2017-10-31,sz.300450,74.5600,81.8700,70.3000,81.0900,42843771,25.353834,8.699732
2017-11-30,sz.300450,81.0200,87.5000,62.6800,67.0900,91215134,53.978754,-17.264768
2017-12-29,sz.300450,67.2000,69.7100,56.0600,56.9700,66903276,39.591626,-15.084215
2018-01-31,sz.300450,57.5700,64.9000,49.5000,52.8600,98953917,58.558365,-7.214323
2018-02-28,sz.300450,52.1000,63.9900,46.4600,63.3800,64935072,38.427000,19.901627
2018-03-30,sz.300450,63.0000,77.7700,62.3800,76.6200,142914347,84.573010,20.889871
2018-04-27,sz.300450,78.0500,78.8600,58.9400,62.7900,80528356,47.654596,-18.050117
2018-05-31,sz.300450,62.6400,75.1900,30.2200,30.4700,131461629,62.789585,-2.778028
2018-06-29,sz.300450,30.3100,33.8100,26.3000,30.2400,146902896,32.162115,-0.754841
2018-07-31,sz.300450,30.0300,33.5900,28.0000,29.9600,174278629,38.155608,-0.925926
2018-08-31,sz.300450,30.1900,30.6900,22.1800,23.2500,175055713,38.325739,-22.396529
2018-09-28,sz.300450,23.2000,27.5900,21.6400,26.2800,153704988,33.257701,13.032258
2018-10-31,sz.300450,25.4800,26.1600,20.0800,24.0300,141875917,30.025958,-8.561644
2018-11-30,sz.300450,24.5500,29.1800,24.2700,28.3800,144555310,29.777471,18.102372
2018-12-28,sz.300450,29.3200,31.4600,27.3800,28.9400,156509255,32.239908,1.973221
2019-01-31,sz.300450,29.2800,31.2200,25.9500,30.0000,231152386,47.615916,3.662751
2019-02-28,sz.300450,29.8500,36.0000,29.8500,32.6300,239335303,49.301545,8.766667
2019-03-29,sz.300450,33.3100,40.6800,33.2900,37.1900,330047080,67.987592,13.974870
2019-04-30,sz.300450,37.8000,38.9000,31.0500,31.8700,240824077,49.594026,-14.304921
2019-05-31,sz.300450,30.5000,31.7000,27.0500,28.5800,149981827,24.803563,-10.323188
2019-06-28,sz.300450,28.6900,34.0800,26.6300,33.6000,193450942,22.819409,18.778078
2019-07-31,sz.300450,34.2500,37.7300,32.6100,36.2100,147128831,17.352400,7.767857
2019-08-30,sz.300450,36.1700,36.1900,30.1000,30.7100,204759085,24.149000,-15.189174
2019-09-30,sz.300450,30.7500,36.7100,30.3500,33.7000,284903319,33.601300,9.736242
2019-10-31,sz.300450,33.3600,34.1800,31.0300,32.7500,157245723,18.545500,-2.818991
2019-11-29,sz.300450,33.0100,39.6500,32.7700,37.8000,232255288,27.392300,15.419847
2019-12-31,sz.300450,37.9900,47.5000,36.4100,44.9400,323530358,38.156900,18.888889
2020-01-23,sz.300450,45.3800,48.0600,41.9600,43.9900,305412916,36.020200,-2.113930
2020-02-28,sz.300450,39.5900,60.1900,39.5900,56.1500,582390133,68.686700,27.642646
2020-03-31,sz.300450,56.0000,57.5500,36.3000,37.4600,420718723,49.619300,-33.285841
2020-04-30,sz.300450,38.1800,41.6800,34.6600,38.0000,412575132,48.659000,1.441538
2020-05-29,sz.300450,37.9000,44.5600,37.1500,42.0000,449297767,52.989800,10.526316
2020-06-30,sz.300450,42.9000,49.1700,41.7800,46.2100,291208507,34.205600,10.023810
2020-07-31,sz.300450,47.1000,53.3800,40.9000,44.0300,416680433,47.380700,-4.420648
2020-08-31,sz.300450,44.5800,51.0000,42.7900,44.9400,341657488,38.849900,2.066773
2020-09-30,sz.300450,44.6200,49.8800,39.9600,48.3900,273018789,31.044700,7.676903
2020-10-30,sz.300450,50.3300,63.6200,50.0000,59.9700,219767461,24.989900,23.930564
2020-11-30,sz.300450,61.1000,71.6800,61.1000,63.0200,317108666,35.956300,5.085876
2020-12-31,sz.300450,63.1500,85.1400,63.0000,83.9900,313436232,34.673300,33.275151
2021-01-29,sz.300450,84.5000,99.6000,83.2400,89.5000,302858672,33.435900,6.560305
2021-02-26,sz.300450,86.0000,98.6000,80.8800,83.9000,210201669,23.206700,-6.256983
2021-03-31,sz.300450,85.5000,86.0000,67.0000,78.9900,235301806,25.977700,-5.852205
2021-04-30,sz.300450,78.5100,89.8800,77.0000,88.4000,138335028,15.272200,11.912900
2021-05-31,sz.300450,88.2200,96.9700,72.5300,95.8000,128753241,14.214500,8.371000
2021-06-30,sz.300450,98.0000,98.0000,54.2000,60.1400,461084858,32.934200,0.772700
2021-07-30,sz.300450,60.1400,78.1000,56.8000,76.0000,679282688,46.870800,26.371800
2021-08-31,sz.300450,76.0800,84.0500,70.3000,74.6000,540067273,37.265400,-1.842100
2021-09-30,sz.300450,74.4000,75.5000,66.1000,69.8200,317337497,21.893000,-6.407500
2021-10-29,sz.300450,71.0000,84.1100,67.8200,81.2400,204858699,14.120300,16.356300
2021-11-30,sz.300450,80.9500,88.8000,78.3300,79.2700,277041940,19.095800,-2.424900
2021-12-31,sz.300450,79.7000,86.4700,71.5000,74.3700,258807613,17.838800,-6.181400
2022-01-28,sz.300450,75.2000,75.8800,66.9100,71.8600,206936415,14.263600,-3.375000
2022-02-28,sz.300450,73.5800,74.9600,59.4000,67.2300,222296813,15.322300,-6.443100
2022-03-31,sz.300450,67.3000,68.5700,52.6800,58.4400,303176248,20.897100,-13.074500
2022-04-29,sz.300450,59.5900,59.5900,37.1900,44.2700,265920766,18.329200,-24.247100
2022-05-31,sz.300450,43.5000,50.6200,41.5000,48.5400,254756429,17.559700,9.645400
2022-06-30,sz.300450,48.5500,69.9900,47.7000,63.1800,369597115,25.467100,31.120000
2022-07-29,sz.300450,63.3100,65.5400,57.6000,59.6400,359645935,24.772100,-5.603000
2022-08-31,sz.300450,59.2900,64.4600,54.8000,55.1600,293573164,20.221200,-7.511700
2022-09-30,sz.300450,54.9000,56.0000,47.0000,47.3100,203924516,14.042600,-14.231300
2022-10-31,sz.300450,46.6100,53.5600,46.3500,50.0900,180543719,12.420100,5.876100
2022-11-30,sz.300450,49.3500,54.3000,42.4600,43.7600,243986864,16.783300,-12.637300
2022-12-30,sz.300450,44.3800,44.7500,39.3500,40.2500,344290041,23.675400,-8.021000
2023-01-31,sz.300450,40.2000,48.0000,39.4100,46.1300,395991867,27.230800,14.608700
2023-02-28,sz.300450,46.8500,50.0000,43.0000,43.5000,288480078,19.837700,-5.701300
2023-03-31,sz.300450,43.4100,44.1100,37.8000,40.4800,269741864,18.549400,-6.942500
2023-04-28,sz.300450,40.3800,40.4400,34.1600,38.2500,289369430,19.899300,-5.508900
2023-05-31,sz.300450,38.2600,38.9500,33.3400,33.6500,210616180,14.483800,-12.026100
2023-06-30,sz.300450,33.6900,36.8800,29.9100,36.1700,460322522,31.656600,9.187600
