,date,code,amount,buy_price
0,2023-06-30,sh.601398,5100.0,4.82
1,2023-06-30,sh.600958,0.0,9.7
2,2023-06-30,sh.601628,0.0,34.96
3,2023-06-30,sz.000617,0.0,7.23
4,2023-06-30,sz.000001,0.0,11.23
5,2023-06-30,sh.600887,0.0,28.32
6,2023-06-30,sz.000895,0.0,24.49
7,2023-06-30,sh.600358,0.0,5.15
8,2023-06-30,sh.603099,0.0,12.82
9,2023-06-30,sz.002563,0.0,6.22
10,2023-06-30,sh.600028,0.0,6.36
11,2023-06-30,sh.601390,0.0,7.58
12,2023-06-30,sh.600039,0.0,9.81
13,2023-06-30,sz.000961,0.0,1.57
14,2023-06-30,sz.000002,0.0,14.02
15,2023-06-30,sh.600118,0.0,28.21
16,2023-06-30,sh.600072,0.0,28.17
17,2023-06-30,sh.600776,0.0,14.25
18,2023-06-30,sh.601727,0.0,4.57
19,2023-06-30,sh.601186,0.0,9.85
20,2023-06-30,sz.000063,0.0,45.54
21,2023-06-30,sz.002463,0.0,20.94
22,2023-06-30,sz.000725,0.0,4.09
23,2023-06-30,sz.002432,0.0,35.21
24,2023-06-30,sh.600588,100.0,20.5
25,2023-06-30,sz.002245,0.0,10.95
26,2023-06-30,sz.000807,0.0,12.73
